County Code, County Name, Precinct Code, Contest Code, Contest Name, Party, Candidate Code , Candidate Name, Candidate Votes, Contest Votes, Pecentage
13, Greenbrier, , AA, U.S. President, D, 1003, Barack Hussein Obama, , , NaN
13, Greenbrier, , AA, U.S. President, R, 1004, John Sidney McCain III, , , NaN
13, Greenbrier, , BA, U.S. Senate, D, 1011, John Davison Rockefeller IV, , , NaN
13, Greenbrier, , BA, U.S. Senate, R, 1013, Matthew Jay Wolfe, , , NaN
13, Greenbrier, , CA, U.S. House of Representatives, D, 1019, Nick Joe Rahall II, , , NaN
13, Greenbrier, , DA, Governor, D, 1022, Joe Manchin III, , , NaN
13, Greenbrier, , DA, Governor, R, 1024, Russell E. Weeks Jr, , , NaN
13, Greenbrier, , EA, Secretary of State, D, 1027, Natalie Tennant, , , NaN
13, Greenbrier, , EA, Secretary of State, R, 1028, Charles Theophilus Minimah, , , NaN
13, Greenbrier, , FA, Auditor, D, 1029, Glen B. Gainer III, , , NaN
13, Greenbrier, , GA, State Treasurer, D, 1030, John D. Perdue, , , NaN
13, Greenbrier, , HA, Commissioner of Agriculture, D, 1031, Gus R. Douglass, , , NaN
13, Greenbrier, , HA, Commissioner of Agriculture, R, 1034, James Michael Teets, , , NaN
13, Greenbrier, , IA, Attorney General, D, 1035, Darrell V. McGraw Jr., , , NaN
13, Greenbrier, , IA, Attorney General, R, 1037, Daniel W.Greear, , , NaN
13, Greenbrier, , JA, Justice of the Supreme Court of Appeals, D, 1040, Margaret Lee Workman, , , NaN
13, Greenbrier, , JA, Justice of the Supreme Court of Appeals, R, 1041, Elizabeth D. Walker, , , NaN
13, Greenbrier, , JA, Justice of the Supreme Court of Appeals, D, 1042, Menis E. Ketchum, , , NaN
13, Greenbrier, , KA, State Senate, R, 1054, Donald Thomas Caruth, , , NaN
13, Greenbrier, , KA, State Senate, D, 1067, James Wilbur McNeely, , , NaN
13, Greenbrier, , LA, House of Delegates, D, 1146, Thomas W. Campbell, , , NaN
13, Greenbrier, , LA, House of Delegates, D, 1303, Joan Connie Browning, , , NaN
13, Greenbrier, , LA, House of Delegates, R, 1304, Denny Ray Canterbury Jr., , , NaN
13, Greenbrier, , MA, Circuit Judge, D, 1316, Joseph C. Pomponio Jr., , , NaN
13, Greenbrier, , MA, Circuit Judge, D, 1344, James Jefferson Rowe, , , NaN
13, Greenbrier, , MA, Circuit Judge, R, 1347, Jesse O'Dell Guills Jr., , , NaN
13, Greenbrier, , MA, Circuit Judge, R, 1351, Barry Lee Bruce, , , NaN
13, Greenbrier, , NA, Family Court Judge, D, 1357, David Martin Sanders, , , NaN
13, Greenbrier, , CA, U.S. House of Representatives, R, 1412, Gary Martin Gearheart, , , NaN
13, Greenbrier, , DA, Governor, M, 1416, Jesse C. Johnson Jr., , , NaN
13, Greenbrier, , AA, U.S. President, M, 1425, Cynthia Ann McKinney, , , NaN
13, Greenbrier, , AA, U.S. President, U, 1427, Ralph Nader, , , NaN
13, Greenbrier, , AA, U.S. President, C, 1428, Charles Obadiah Baldwin, , , NaN
13, Greenbrier, , VO, Over Vote, , 901, Over Vote, , , NaN
13, Greenbrier, , VU, Under Vote, , 902, Under Vote, , , NaN
13, Greenbrier, , WI, Write-In, , 999, Write-In Candidate, , , NaN
13, Greenbrier, , 90, Straight Ticket, D, DEM, Democratic Party, , , NaN
13, Greenbrier, , 90, Straight Ticket, M, MTN, Mountain Party, , , NaN
13, Greenbrier, , 90, Straight Ticket, R, REP, Republican Party, , , NaN
13, Greenbrier, 1, AA, U.S. President, D, 1003, Barack Hussein Obama, 119, 334, 35.63%
13, Greenbrier, 1, AA, U.S. President, R, 1004, John Sidney McCain III, 190, 334, 56.89%
13, Greenbrier, 1, BA, U.S. Senate, D, 1011, John Davison Rockefeller IV, 184, 334, 55.09%
13, Greenbrier, 1, BA, U.S. Senate, R, 1013, Matthew Jay Wolfe, 136, 334, 40.72%
13, Greenbrier, 1, CA, U.S. House of Representatives, D, 1019, Nick Joe Rahall II, 193, 334, 57.78%
13, Greenbrier, 1, DA, Governor, D, 1022, Joe Manchin III, 223, 334, 66.77%
13, Greenbrier, 1, DA, Governor, R, 1024, Russell E. Weeks Jr, 94, 334, 28.14%
13, Greenbrier, 1, EA, Secretary of State, D, 1027, Natalie Tennant, 159, 334, 47.60%
13, Greenbrier, 1, EA, Secretary of State, R, 1028, Charles Theophilus Minimah, 149, 334, 44.61%
13, Greenbrier, 1, FA, Auditor, D, 1029, Glen B. Gainer III, 253, 334, 75.75%
13, Greenbrier, 1, GA, State Treasurer, D, 1030, John D. Perdue, 248, 334, 74.25%
13, Greenbrier, 1, HA, Commissioner of Agriculture, D, 1031, Gus R. Douglass, 191, 334, 57.19%
13, Greenbrier, 1, HA, Commissioner of Agriculture, R, 1034, James Michael Teets, 121, 334, 36.23%
13, Greenbrier, 1, IA, Attorney General, D, 1035, Darrell V. McGraw Jr., 172, 334, 51.50%
